kecamatan_subdistrict;name;nomor_komoditas;x2020;x2021;x2022;x2023;tabel
Hewokloang;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Hewokloang;mawar_rose_m2_m2;4;-;-;-;-;5.5
Hewokloang;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Hewokloang;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Hewokloang;bugenvil_m2_m2;7;NA;-;-;-;5.5
Hewokloang;palem_palm_pohon_tree;8;-;-;-;-;5.5
Hewokloang;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Hewokloang;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Hewokloang;puring_croton_m2_m2;11;NA;-;-;-;5.5
Hewokloang;soka_ixora_m2_m2;12;-;-;-;-;5.5
Hewokloang;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Hewokloang;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Hewokloang;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Hewokloang;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Hewokloang;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Hewokloang;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Hewokloang;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Hewokloang;palem_palm_pohon_tree;8;-;-;-;-;5.6
Hewokloang;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Hewokloang;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Hewokloang;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Hewokloang;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Hewokloang;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
